,Unnamed: 0,title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,genres,award,place,url
10,10,The Last Olympian,Rick Riordan,717920.0,25250.0,4.5,381,2009.0,True,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Mythology Greek Mythology', 'Fantasy Urban Fantasy', 'Fantasy Magic']",4,United States,https://www.goodreads.com//book/show/4556058-the-last-olympian
11,11,The Angel Experiment,James Patterson,211710.0,9431.0,4.07,445,2006.0,True,"['Young Adult', 'Fantasy', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy Paranormal', 'Young Adult Teen', 'Action', 'Mystery', 'Fantasy Urban Fantasy']",2,United States,https://www.goodreads.com//book/show/13152.The_Angel_Experiment
12,12,Cinder,Marissa Meyer,730362.0,56884.0,4.13,400,2012.0,True,"['Young Adult', 'Fantasy', 'Science Fiction', 'Romance', 'Science Fiction Dystopia', 'Retellings', 'Fiction', 'Fantasy Fairy Tales', 'Audiobook', 'Young Adult Young Adult Fantasy']",12,,https://www.goodreads.com//book/show/36381037-cinder
13,13,The Titan's Curse,Rick Riordan,739560.0,22826.0,4.34,320,2007.0,True,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Mythology Greek Mythology', 'Fantasy Urban Fantasy', 'Fantasy Magic']",1,,https://www.goodreads.com//book/show/561456.The_Titan_s_Curse
14,14,Shadow Kiss,Richelle Mead,338805.0,11508.0,4.33,443,2008.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",1,United States,https://www.goodreads.com//book/show/2802316-shadow-kiss
15,15,The Battle of the Labyrinth,Rick Riordan,791286.0,20899.0,4.39,361,2008.0,True,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Mythology Greek Mythology', 'Fantasy Urban Fantasy', 'Fantasy Magic']",0,,https://www.goodreads.com//book/show/2120932.The_Battle_of_the_Labyrinth
16,16,Blood Promise,Richelle Mead,289284.0,9958.0,4.3,503,2009.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",2,United States,https://www.goodreads.com//book/show/5996153-blood-promise
17,17,The Lost Hero,Rick Riordan,665841.0,23142.0,4.32,553,2010.0,True,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Mythology Greek Mythology', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",3,United States,https://www.goodreads.com//book/show/7736182-the-lost-hero
18,18,The Selection,Kiera Cass,991843.0,53206.0,4.12,336,2012.0,True,"['Young Adult', 'Romance', 'Science Fiction Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Audiobook', 'Young Adult Teen', 'Womens Fiction Chick Lit', 'Young Adult Young Adult Fantasy']",2,,https://www.goodreads.com//book/show/10507293-the-selection
19,19,Pretties,Scott Westerfeld,239844.0,10408.0,3.84,370,2005.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Young Adult Teen', 'Adventure', 'Apocalyptic Post Apocalyptic', 'Science Fiction Fantasy']",0,,https://www.goodreads.com//book/show/24768.Pretties
20,20,Eldest,Christopher Paolini,376274.0,9883.0,3.99,704,2007.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Dragons', 'Adventure', 'Fantasy Magic', 'Fantasy High Fantasy', 'Fantasy Epic Fantasy', 'Science Fiction Fantasy', 'Young Adult Young Adult Fantasy']",4,,https://www.goodreads.com//book/show/45978.Eldest
21,21,Legend,Marie Lu,435349.0,29895.0,4.16,305,2011.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Romance', 'Fantasy', 'Fiction', 'Adventure', 'Young Adult Teen', 'Audiobook', 'Action']",10,,https://www.goodreads.com//book/show/9275658-legend
22,22,Evermore,Alyson Noel,273259.0,9854.0,3.59,301,2009.0,True,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Fantasy Magic']",2,United States,https://www.goodreads.com//book/show/3975774-evermore
23,23,The Summoning,Kelley Armstrong,163305.0,6316.0,4.0,390,2008.0,True,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Fantasy Supernatural', 'Fantasy Magic', 'Romance', 'Paranormal Ghosts', 'Shapeshifters Werewolves', 'Fiction']",1,United States,https://www.goodreads.com//book/show/2800905-the-summoning
24,24,Gone,Michael  Grant,185303.0,10987.0,3.86,560,2008.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fantasy', 'Fiction', 'Fantasy Paranormal', 'Romance', 'Adventure', 'Fantasy Supernatural', 'Young Adult Teen']",1,United States,https://www.goodreads.com//book/show/2536134.Gone
25,25,Spirit Bound,Richelle Mead,270310.0,9050.0,4.33,489,2010.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",3,United States,https://www.goodreads.com//book/show/6479259-spirit-bound
26,26,A Great and Terrible Beauty,Libba Bray,218264.0,9972.0,3.78,403,2003.0,True,"['Fantasy', 'Young Adult', 'Historical Historical Fiction', 'Fiction', 'Historical', 'Fantasy Paranormal', 'Romance', 'Fantasy Magic', 'Young Adult Teen', 'Young Adult Young Adult Fantasy']",2,United Kingdom,https://www.goodreads.com//book/show/3682.A_Great_and_Terrible_Beauty
27,27,The Iron King,Julie Kagawa,202575.0,12119.0,3.89,363,2010.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fairies Fae', 'Paranormal Fairies', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Fiction', 'Young Adult Young Adult Fantasy']",2,United States,https://www.goodreads.com//book/show/6644117-the-iron-king
28,28,Last Sacrifice,Richelle Mead,264884.0,11399.0,4.37,594,2010.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",1,United States,https://www.goodreads.com//book/show/6527740-last-sacrifice
29,29,The Night Circus,Erin Morgenstern,733222.0,77446.0,4.03,391,2011.0,False,"['Fantasy', 'Fiction', 'Romance', 'Historical Historical Fiction', 'Fantasy Magic', 'Young Adult', 'Magical Realism', 'Adult', 'Audiobook', 'Historical']",11,United Kingdom,https://www.goodreads.com//book/show/9361589-the-night-circus
30,30,Betrayed,P.C. Cast,248937.0,5571.0,3.92,310,2007.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Magic']",0,United States,https://www.goodreads.com//book/show/676924.Betrayed
31,31,Wicked Lovely,Melissa Marr,162302.0,7137.0,3.69,328,2007.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Paranormal Fairies', 'Fairies Fae', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Magic']",3,United States,https://www.goodreads.com//book/show/305234.Wicked_Lovely
32,32,Chosen,P.C. Cast,227800.0,4437.0,3.91,307,2008.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Fantasy Urban Fantasy', 'Fantasy Magic']",0,United States,https://www.goodreads.com//book/show/1326258.Chosen
33,33,The Graveyard Book,Neil Gaiman,460950.0,32765.0,4.13,307,2008.0,False,"['Fantasy', 'Young Adult', 'Fiction', 'Horror', 'Childrens Middle Grade', 'Childrens', 'Fantasy Paranormal', 'Audiobook', 'Paranormal Ghosts', 'Fantasy Supernatural']",18,United Kingdom,https://www.goodreads.com//book/show/2213661.The_Graveyard_Book
34,34,City of Fallen Angels,Cassandra Clare,511335.0,23768.0,4.11,425,2011.0,True,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Fiction', 'Paranormal Angels', 'Fantasy Supernatural', 'Fantasy Magic']",1,United States,https://www.goodreads.com//book/show/6752378-city-of-fallen-angels
35,35,Untamed,P.C. Cast,221854.0,3669.0,3.94,338,2008.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Magic']",0,United States,https://www.goodreads.com//book/show/2866718-untamed
36,36,Shatter Me,Tahereh Mafi,317468.0,30702.0,3.93,338,2011.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Fantasy', 'Romance', 'Science Fiction', 'Fantasy Paranormal', 'Fiction', 'Young Adult Young Adult Fantasy', 'Fantasy Supernatural', 'Audiobook']",1,,https://www.goodreads.com//book/show/10429045-shatter-me
37,37,The Alchemyst,Michael Scott,148697.0,8510.0,3.84,369,2008.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Magic', 'Adventure', 'Fantasy Mythology', 'Childrens Middle Grade', 'Fantasy Urban Fantasy', 'Childrens', 'Young Adult Young Adult Fantasy']",3,United States,https://www.goodreads.com//book/show/3168250-the-alchemyst
38,38,Blue Bloods,Melissa de la Cruz,136633.0,4963.0,3.69,302,2007.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Paranormal Angels']",0,United States,https://www.goodreads.com//book/show/872333.Blue_Bloods
39,39,Clockwork Prince,Cassandra Clare,471310.0,24801.0,4.43,498,2011.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Science Fiction Steampunk', 'Historical Historical Fiction', 'Fantasy Urban Fantasy', 'Fiction', 'Paranormal Angels', 'Paranormal Vampires']",2,United Kingdom,https://www.goodreads.com//book/show/10025305-clockwork-prince
40,40,Inkspell,Cornelia Funke,117435.0,4157.0,3.9,635,2005.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Childrens Middle Grade', 'Adventure', 'Fantasy Magic', 'Writing Books About Books', 'Young Adult Young Adult Fantasy', 'European Literature German Literature']",2,,https://www.goodreads.com//book/show/28195.Inkspell
41,41,Dark Lover,J.R. Ward,302207.0,13411.0,4.17,393,2005.0,True,"['Romance', 'Fantasy Paranormal', 'Paranormal Vampires', 'Romance Paranormal Romance', 'Fantasy', 'Fantasy Urban Fantasy', 'Adult', 'Fiction', 'Fantasy Supernatural', 'Adult Fiction Erotica']",5,United States,https://www.goodreads.com//book/show/42899.Dark_Lover
42,42,Beautiful Disaster,Jamie McGuire,571391.0,28799.0,4.08,319,2011.0,True,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Romance Contemporary Romance', 'Academic College', 'Fiction', 'Womens Fiction Chick Lit', 'Adult', 'Love']",1,,https://www.goodreads.com//book/show/11505797-beautiful-disaster
43,43,Hunted,P.C. Cast,170436.0,3528.0,3.91,323,2009.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Magic']",1,United States,https://www.goodreads.com//book/show/4134071-hunted
44,44,Poison Study,Maria V. Snyder,153017.0,12036.0,4.09,427,2007.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Magic', 'Fiction', 'Fantasy Paranormal', 'Fantasy High Fantasy', 'Young Adult Young Adult Fantasy', 'Adventure', 'New Adult']",3,,https://www.goodreads.com//book/show/60510.Poison_Study
45,45,Crescendo,Becca Fitzpatrick,288155.0,11404.0,4.02,432,2010.0,True,"['Young Adult', 'Fantasy', 'Paranormal Angels', 'Fantasy Paranormal', 'Romance', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",1,United States,https://www.goodreads.com//book/show/7791997-crescendo
46,46,The Catcher in the Rye,J.D. Salinger,2857855.0,60345.0,3.81,277,2001.0,False,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'Academic School', 'Novels', 'Young Adult Coming Of Age', 'Young Adult High School', 'Literature American', 'Academic Read For School']",2,United States,https://www.goodreads.com//book/show/5107.The_Catcher_in_the_Rye
47,47,Among the Hidden,Margaret Peterson Haddix,114407.0,6276.0,3.98,153,2006.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Childrens Middle Grade', 'Childrens', 'Fantasy', 'Adventure', 'Academic School', 'Young Adult Teen']",5,,https://www.goodreads.com//book/show/227651.Among_the_Hidden
48,48,The Mysterious Benedict Society,Trenton Lee Stewart,128813.0,10837.0,4.17,497,2008.0,True,"['Mystery', 'Fiction', 'Young Adult', 'Childrens Middle Grade', 'Fantasy', 'Childrens', 'Adventure', 'Childrens Juvenile', 'Science Fiction', 'Audiobook']",3,,https://www.goodreads.com//book/show/40605329-the-mysterious-benedict-society
49,49,The Awakening,Kelley Armstrong,111578.0,3321.0,4.13,360,2009.0,True,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Fantasy Supernatural', 'Romance', 'Fantasy Magic', 'Shapeshifters Werewolves', 'Paranormal Ghosts', 'Fiction']",1,United States,https://www.goodreads.com//book/show/5391115-the-awakening
50,50,Fablehaven,Brandon Mull,141793.0,10162.0,4.09,351,2006.0,True,"['Fantasy', 'Young Adult', 'Childrens Middle Grade', 'Fiction', 'Childrens', 'Adventure', 'Fantasy Magic', 'Childrens Juvenile', 'Young Adult Young Adult Fantasy', 'Science Fiction Fantasy']",2,United States,https://www.goodreads.com//book/show/44652.Fablehaven
51,51,City of Lost Souls,Cassandra Clare,451392.0,20879.0,4.25,546,2012.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Paranormal Angels', 'Fiction', 'Fantasy Supernatural', 'Fantasy Magic']",1,United States,https://www.goodreads.com//book/show/8755776-city-of-lost-souls
52,52,Throne of Glass,Sarah J. Maas,671528.0,47812.0,4.19,406,2012.0,True,"['Young Adult', 'Fiction', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Fantasy High Fantasy', 'New Adult', 'Adventure', 'Fantasy Paranormal', 'Fairies Fae', 'Mystery']",3,,https://www.goodreads.com//book/show/7896527-throne-of-glass
53,53,Uglies,Scott Westerfeld,581967.0,23952.0,3.85,425,2005.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Young Adult Teen', 'Adventure', 'Apocalyptic Post Apocalyptic', 'Science Fiction Fantasy']",11,,https://www.goodreads.com//book/show/24770.Uglies
54,54,Perfect Chemistry,Simone Elkeles,245993.0,10874.0,4.05,368,2008.0,True,"['Romance', 'Young Adult', 'Contemporary', 'Romance Contemporary Romance', 'Young Adult High School', 'Fiction', 'New Adult', 'Realistic Fiction', 'Womens Fiction Chick Lit', 'Young Adult Young Adult Romance']",4,United States,https://www.goodreads.com//book/show/4268157-perfect-chemistry
55,55,Brisingr,Christopher Paolini,318817.0,9255.0,4.05,748,2008.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Dragons', 'Adventure', 'Fantasy Magic', 'Fantasy High Fantasy', 'Fantasy Epic Fantasy', 'Science Fiction Fantasy', 'Young Adult Young Adult Fantasy']",0,,https://www.goodreads.com//book/show/2248573.Brisingr
56,56,Daughter of Smoke & Bone,Laini Taylor,331311.0,30041.0,3.99,418,2011.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Paranormal Angels', 'Fantasy Urban Fantasy', 'Fiction', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Fantasy Supernatural']",16,Czech Republic,https://www.goodreads.com//book/show/8490112-daughter-of-smoke-bone
57,57,Magyk,Angie Sage,115534.0,5213.0,3.82,564,2005.0,True,"['Fantasy', 'Young Adult', 'Fantasy Magic', 'Fiction', 'Childrens Middle Grade', 'Childrens', 'Adventure', 'Young Adult Young Adult Fantasy', 'Audiobook', 'Fantasy High Fantasy']",1,,https://www.goodreads.com//book/show/769483.Magyk
58,58,Glass Houses,Rachel Caine,97464.0,4893.0,3.9,239,2006.0,True,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Fantasy Urban Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Paranormal Ghosts']",0,United States,https://www.goodreads.com//book/show/27266.Glass_Houses
59,59,The Luxe,Anna Godbersen,71165.0,4622.0,3.63,433,2007.0,True,"['Historical Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Fiction', 'Womens Fiction Chick Lit', 'Romance Historical Romance', 'Young Adult Teen', 'Drama', 'Mystery']",1,United States,https://www.goodreads.com//book/show/1254951.The_Luxe
60,60,Obsidian,Jennifer L. Armentrout,243492.0,18482.0,4.16,335,2012.0,True,"['Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Romance', 'Science Fiction Aliens', 'Science Fiction', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Fiction']",0,United States,https://www.goodreads.com//book/show/12578077-obsidian
61,61,Tempted,P.C. Cast,156856.0,3429.0,3.94,319,2009.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Urban Fantasy', 'Fantasy Magic']",1,United States,https://www.goodreads.com//book/show/6262365-tempted
62,62,Torment,Lauren Kate,217579.0,8033.0,3.86,452,2010.0,True,"['Young Adult', 'Fantasy', 'Paranormal Angels', 'Romance', 'Fantasy Paranormal', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Young Adult Teen']",0,United States,https://www.goodreads.com//book/show/7740152-torment
63,63,Moon Called,Patricia Briggs,187023.0,8683.0,4.13,289,2006.0,True,"['Fantasy Urban Fantasy', 'Fantasy', 'Fantasy Paranormal', 'Paranormal Vampires', 'Romance', 'Shapeshifters Werewolves', 'Romance Paranormal Romance', 'Fiction', 'Paranormal Shapeshifters', 'Fantasy Supernatural']",0,United States,https://www.goodreads.com//book/show/71811.Moon_Called
64,64,Specials,Scott Westerfeld,174474.0,8009.0,3.76,384,2006.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Young Adult Teen', 'Adventure', 'Apocalyptic Post Apocalyptic', 'Futuristic']",0,,https://www.goodreads.com//book/show/24765.Specials
65,65,Cross My Heart and Hope to Spy,Ally Carter,85278.0,3467.0,4.12,236,2007.0,True,"['Young Adult', 'Mystery', 'Romance', 'Contemporary', 'Fiction', 'Spy Thriller Espionage', 'Adventure', 'Womens Fiction Chick Lit', 'Young Adult Teen', 'Action']",0,United States,https://www.goodreads.com//book/show/568645.Cross_My_Heart_and_Hope_to_Spy
66,66,The Goose Girl,Shannon Hale,140095.0,10152.0,4.1,383,2005.0,True,"['Fantasy', 'Young Adult', 'Fantasy Fairy Tales', 'Romance', 'Fiction', 'Retellings', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Young Adult Young Adult Fantasy']",4,,https://www.goodreads.com//book/show/179064.The_Goose_Girl
67,67,The Historian,Elizabeth Kostova,250774.0,16492.0,3.78,704,2005.0,False,"['Fiction', 'Historical Historical Fiction', 'Fantasy', 'Horror', 'Mystery', 'Paranormal Vampires', 'Historical', 'Fantasy Paranormal', 'Gothic', 'Thriller']",5,Netherlands,https://www.goodreads.com//book/show/30236962-the-historian
68,68,Alanna: The First Adventure,Tamora Pierce,123044.0,5193.0,4.23,274,2005.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Adventure', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Childrens Middle Grade', 'Fantasy High Fantasy', 'Childrens', 'Young Adult Teen']",3,,https://www.goodreads.com//book/show/13831.Alanna
69,69,Fairest,Gail Carson Levine,62410.0,4171.0,3.88,326,2006.0,True,"['Fantasy', 'Young Adult', 'Fantasy Fairy Tales', 'Romance', 'Fiction', 'Childrens Middle Grade', 'Retellings', 'Fantasy Magic', 'Childrens', 'Fairy Tales Fairy Tale Retellings']",0,,https://www.goodreads.com//book/show/183660.Fairest
70,70,Unwind,Neal Shusterman,202236.0,19135.0,4.16,337,2007.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Horror', 'Young Adult Teen', 'Thriller', 'Adventure', 'Adventure Survival']",12,United States,https://www.goodreads.com//book/show/764347.Unwind
71,71,Bloodlines,Richelle Mead,175286.0,8404.0,4.19,421,2011.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Fantasy Magic', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Fiction']",1,United States,https://www.goodreads.com//book/show/8709527-bloodlines
72,72,Heist Society,Ally Carter,90329.0,5302.0,3.9,287,2010.0,True,"['Young Adult', 'Mystery', 'Contemporary', 'Romance', 'Fiction', 'Adventure', 'Young Adult Teen', 'Mystery Crime', 'Womens Fiction Chick Lit', 'Realistic Fiction']",3,United States,https://www.goodreads.com//book/show/6574102-heist-society
73,73,Hex Hall,Rachel Hawkins,140318.0,8484.0,3.92,323,2010.0,True,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Fantasy Magic', 'Romance', 'Paranormal Vampires', 'Paranormal Witches', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Paranormal Demons']",0,United States,https://www.goodreads.com//book/show/5287473-hex-hall
74,74,"Night World, No. 1",L.J. Smith,61878.0,2154.0,4.05,729,2008.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Supernatural', 'Paranormal Witches', 'Romance Paranormal Romance', 'Fiction', 'Fantasy Magic']",0,,https://www.goodreads.com//book/show/3099787-night-world-no-1
75,75,The Red Pyramid,Rick Riordan,340056.0,13540.0,4.08,516,2010.0,True,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Childrens Middle Grade', 'Adventure', 'Fiction', 'Childrens', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Science Fiction Fantasy']",5,United Kingdom,https://www.goodreads.com//book/show/7090447-the-red-pyramid
76,76,Just Listen,Sarah Dessen,238590.0,8232.0,4.05,371,2006.0,False,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Womens Fiction Chick Lit', 'Young Adult Teen', 'Music', 'Young Adult Young Adult Contemporary', 'Young Adult High School']",5,United States,https://www.goodreads.com//book/show/51738.Just_Listen
